generacion,precision_train,precision_test,t_evaluar,t_especiar,t_cruzar,t_mutar,conexiones_prom
88,0.634,-1,0.857342,0.199623,0.381733,0.000282452,1971.33
89,0.636,-1,0.839311,0.199446,0.381789,0.000218629,1971.09
90,0.636,0.567,0.831323,0.198997,0.385054,0.000136383,1971.02
91,0.636,-1,0.820501,0.199274,0.38087,5.441e-05,1971.03
92,0.643,-1,0.84959,0.198824,0.381615,0.000195663,1971.2
93,0.6475,-1,0.837266,0.199742,0.382238,0.000237973,1971.13
94,0.6475,-1,0.841488,0.198944,0.382323,0.000272423,1971.34
95,0.6475,-1,0.860726,0.199536,0.382036,0.000174943,1971.48
96,0.6475,-1,0.906189,0.199054,0.381718,9.8201e-05,1971.99
97,0.6475,-1,0.91294,0.198704,0.380444,0.00017414,1972.23
98,0.6475,-1,0.909556,0.198778,0.381523,0.000178449,1972.14
99,0.6475,-1,0.937071,0.199305,0.38191,0.000270489,1972.01
100,0.6475,0.59,0.949259,0.199313,0.385701,0.000254647,1972.19
101,0.6475,-1,0.980115,0.198961,0.382204,7.9896e-05,1972.57
102,0.6475,-1,1.01471,0.201083,0.382441,0.000163988,1972.67
103,0.6475,-1,1.0268,0.19921,0.381695,0.000120421,1972.84
104,0.6475,-1,1.03635,0.199148,0.382245,0.0001153,1972.63
105,0.659,-1,1.05152,0.199611,0.382347,0.000249439,1972.74
106,0.659,-1,1.05835,0.198855,0.381429,0.000234312,1973
107,0.659,-1,1.05978,0.199536,0.38316,0.000143001,1973.31
108,0.659,-1,1.06818,0.199585,0.382114,0.000181871,1973.39
109,0.659,-1,1.07322,0.199564,0.381962,0.000188489,1973.23
110,0.659,0.598,1.07765,0.199482,0.385911,0.00026874,1973.32
111,0.659,-1,1.07892,0.199082,0.382285,0.000115913,1973.45
112,0.659,-1,1.07856,0.199305,0.382459,0.000180319,1973.6
113,0.659,-1,1.07799,0.199432,0.381743,0.000153565,1973.49
114,0.659,-1,1.07673,0.198963,0.382717,0.000116891,1973.28
115,0.66,-1,1.07733,0.199711,0.381637,0.00025115,1973.35
116,0.66,-1,1.0784,0.199457,0.382211,0.000202889,1973.54
117,0.6625,-1,1.0761,0.198552,0.381681,0.000282508,1973.11
118,0.6625,-1,1.07654,0.199677,0.38229,0.00019235,1973.23
119,0.6625,-1,1.0778,0.199461,0.382742,0.000130361,1973.47
120,0.6625,0.597,1.07841,0.199229,0.385528,0.000191198,1973.63
121,0.6625,-1,1.08522,0.199459,0.38244,0.000181604,1973.25
122,0.6625,-1,1.0796,0.200578,0.382375,0.000222382,1972.89
123,0.6625,-1,1.08101,0.199443,0.382277,0.000163754,1972.99
124,0.664,-1,1.0829,0.199059,0.382786,0.000111776,1972.8
125,0.6665,-1,1.0751,0.19972,0.381907,0.000194811,1972.79
126,0.668,-1,1.0753,0.198932,0.381831,0.000178911,1972.89
127,0.668,-1,1.07503,0.199742,0.38179,0.000226659,1972.88
128,0.668,-1,1.09511,0.199057,0.381441,0.000252776,1972.61
129,0.671,-1,1.07473,0.199103,0.382144,0.000187893,1972.51
130,0.6715,0.597,1.07415,0.199498,0.385566,0.000190737,1972.31
131,0.6715,-1,1.07436,0.19947,0.381536,0.000143102,1972.26
132,0.6715,-1,1.0757,0.199493,0.381768,0.000136388,1972.47
133,0.679,-1,1.07498,0.199742,0.381665,0.000143709,1972.52
134,0.679,-1,1.07577,0.199312,0.382261,0.000361637,1972.59
135,0.679,-1,1.07529,0.199206,0.382067,0.000148656,1972.63
136,0.679,-1,1.07521,0.199553,0.381585,0.000274079,1972.57
137,0.679,-1,1.07768,0.201663,0.382946,0.000175391,1972.51
138,0.679,-1,1.0805,0.202374,0.382342,0.000206645,1972.75
139,0.6795,-1,1.07692,0.200049,0.382948,0.000247712,1972.95
140,0.6795,0.615,1.07754,0.199753,0.386221,0.000133457,1973.13
141,0.6795,-1,1.0771,0.199377,0.381887,0.000116316,1973.04
142,0.6795,-1,1.07755,0.199186,0.382577,0.000194251,1973.13
143,0.6805,-1,1.07919,0.199919,0.381991,0.000273171,1973.39
144,0.6805,-1,1.07977,0.199461,0.382509,0.000306888,1973.67
145,0.6805,-1,1.08004,0.199989,0.382237,0.000290002,1973.59
146,0.6805,-1,1.08089,0.199464,0.382649,0.000115819,1973.81
147,0.6805,-1,1.08101,0.199665,0.3823,0.000101793,1973.87
148,0.6805,-1,1.08198,0.199436,0.382365,0.000268647,1974.09
149,0.6865,-1,1.0823,0.199593,0.383305,0.000187854,1974.17
150,0.6865,0.601,1.08511,0.202959,0.388104,0.000123574,1974.37
151,0.687,-1,1.08382,0.20352,0.384232,0.000293391,1974.45
152,0.687,-1,1.08661,0.200555,0.383748,0.000276211,1974.43
153,0.687,-1,1.0848,0.199949,0.383866,0.000220793,1974.32
154,0.687,-1,1.08292,0.200469,0.384036,0.000209714,1974.31
155,0.687,-1,1.08295,0.200824,0.384832,0.000217891,1974.41
156,0.687,-1,1.08192,0.201209,0.38543,0.000205493,1974.55
157,0.688,-1,1.08455,0.200805,0.384412,0.000200853,1974.75
158,0.6885,-1,1.08468,0.200425,0.384405,0.000184745,1974.77
159,0.6885,-1,1.08284,0.199911,0.3837,0.000159132,1974.69
160,0.6885,0.602,1.08218,0.200513,0.387911,0.000290127,1974.79
161,0.689,-1,1.08415,0.200478,0.384644,0.000333829,1974.75
162,0.689,-1,1.08253,0.200308,0.384435,0.000122689,1974.62
163,0.689,-1,1.0849,0.200258,0.384567,0.000311602,1974.73
164,0.689,-1,1.08139,0.200503,0.382767,0.000196203,1974.73
165,0.689,-1,1.08491,0.199645,0.384443,0.000222127,1974.87
166,0.69,-1,1.08396,0.200395,0.384416,0.000194646,1974.99
167,0.69,-1,1.08509,0.201017,0.384969,0.000157505,1975.01
168,0.69,-1,1.0858,0.200962,0.38548,0.00025398,1975.05
169,0.69,-1,1.09689,0.200125,0.384034,0.000237237,1975.27
170,0.69,0.617,1.08669,0.200687,0.387808,0.000243152,1975.09
171,0.6915,-1,1.08678,0.200944,0.383864,0.000183232,1975.17
172,0.692,-1,1.08539,0.201885,0.385408,0.000285364,1975.08
173,0.692,-1,1.08489,0.200171,0.384762,0.000169125,1975.03
174,0.692,-1,1.08425,0.200479,0.384197,0.000150956,1975.01
175,0.692,-1,1.08747,0.2007,0.384129,0.000130791,1974.94
176,0.692,-1,1.0851,0.199504,0.384013,0.000139922,1974.76
177,0.692,-1,1.0855,0.199918,0.385534,0.000205658,1974.8
178,0.692,-1,1.08774,0.201035,0.384646,0.000193135,1975.03
179,0.692,-1,1.08814,0.200309,0.384399,0.000243479,1975.21
180,0.692,0.63,1.08716,0.200579,0.388431,0.000194683,1975.21
181,0.692,-1,1.08774,0.201196,0.384164,0.000144261,1975.17
182,0.692,-1,1.08933,0.201213,0.385517,0.000405935,1975.37
183,0.692,-1,1.09215,0.200589,0.385461,0.000184873,1975.23
184,0.697,-1,1.08795,0.200127,0.385629,0.00011676,1975.18
185,0.697,-1,1.09024,0.200279,0.384722,0.000220198,1974.99
186,0.697,-1,1.08706,0.200758,0.385036,0.00013691,1974.99
187,0.697,-1,1.08777,0.200528,0.38534,0.000406733,1975.19
188,0.697,-1,1.08729,0.201513,0.385543,0.000270728,1975.47
189,0.697,-1,1.08895,0.200933,0.385288,0.000141779,1975.3
190,0.697,0.619,1.0857,0.2034,0.38917,0.000233157,1975.26
191,0.697,-1,1.08689,0.199981,0.385933,0.000114152,1975.31
192,0.697,-1,1.08721,0.200441,0.386717,0.000218688,1975.35
193,0.697,-1,1.08593,0.20056,0.384907,0.000297589,1975.3
194,0.697,-1,1.08789,0.200447,0.385337,0.000164059,1975.33
195,0.697,-1,1.08728,0.200367,0.384832,0.000192881,1975.46
196,0.697,-1,1.0854,0.201156,0.385116,0.000162538,1975.35
197,0.697,-1,1.08296,0.200965,0.385251,0.000174009,1975.18
198,0.697,-1,1.08359,0.199908,0.384517,0.000276527,1975.01
199,0.697,0.619,1.08357,0.20032,0.386744,0.000281002,1975.15
